# expected_electrons,scaling_factor
0, 2.200000000000000000e+00
9.680582360879775861e-01,1.973683871912886412e+00
1.026833200421886971e+00,1.953685074356907414e+00
1.114995646922757544e+00,1.948283087700423355e+00
1.203158093423628117e+00,1.952535778660084320e+00
1.291320539924492028e+00,1.914965680907855683e+00
1.379482986425362601e+00,1.913799606293110855e+00
1.496168577382395171e+00,1.902721882974376166e+00
1.613718506050220380e+00,1.881738114240882886e+00
1.731268434718045590e+00,1.854445927622980994e+00
1.819430881218916163e+00,1.844141169126221724e+00
1.995755774220653977e+00,1.836285314389270340e+00
2.141828847344644515e+00,1.818083257145124865e+00
2.318153740346382108e+00,1.792456367801008588e+00
2.494478633348120145e+00,1.780377216664978501e+00
2.669939188639065542e+00,1.752284880946831214e+00
2.875651563807757771e+00,1.731700039144985270e+00
3.051976456809498917e+00,1.714292466064606391e+00
3.550699315936961753e+00,1.682304945791453621e+00
4.166972103732253352e+00,1.632989476357610714e+00
4.929317964651532158e+00,1.585567932047132755e+00
5.810078091949431922e+00,1.537306975962039246e+00
6.836911292371318893e+00,1.493601780173634097e+00
8.040069385794943457e+00,1.447871993254833844e+00
9.448939854387264248e+00,1.408191041182640157e+00
1.109204584260443838e+01,1.368437698586496998e+00
1.305754979694734175e+01,1.332227488167926799e+00
1.531692857295981192e+01,1.300865928197361132e+00
1.807589454581054156e+01,1.270019077130887464e+00
2.118578162924315578e+01,1.245089843021190079e+00
2.500096828468272747e+01,1.222382784046879056e+00
2.940217590803984038e+01,1.200629140820776319e+00
3.459598121219398337e+01,1.175162659113821562e+00
4.064029482376826508e+01,1.160063381994864695e+00
4.756536856264045809e+01,1.145946536733348564e+00
5.619318759177453160e+01,1.133542961903295510e+00
6.570003807278490626e+01,1.122975619160289096e+00
7.781891711581123161e+01,1.112299996849680506e+00
9.075978132180154034e+01,1.103700897703812078e+00
1.071917055416841293e+02,1.094957770233933259e+00
1.262062708414156731e+02,1.086186196821582239e+00
1.486833730105833240e+02,1.078636762245898550e+00
1.746230120491870537e+02,1.072558718871083006e+00
2.057270689097779837e+02,1.066592230762872795e+00
2.420249310745230673e+02,1.062007575296785911e+00
2.852478669781403369e+02,1.079223234927219499e+00
3.353664891384628390e+02,1.071107212465847391e+00
3.950222135996734210e+02,1.062579414033328673e+00
4.641554010597274100e+02,1.056312183331607590e+00
5.462873633523950048e+02,1.050534831725527640e+00
6.422115624961836602e+02,1.045188277839104396e+00
7.562989542945730363e+02,1.040469710124485525e+00
8.894302988748609096e+02,1.036416626155296505e+00
1.045859866449569608e+03,1.031884275524973971e+00
1.230841965962608811e+03,1.028021575871316928e+00
1.447777766305948262e+03,1.026161213220528223e+00
1.703623457376048918e+03,1.023343073567309691e+00
2.003543456994897724e+03,1.019899006790472518e+00
2.357074003125671879e+03,1.017103796302663676e+00
2.772811798639917015e+03,1.015165430980436323e+00
3.262026942948661144e+03,1.011538305594679832e+00
3.836806334599631100e+03,1.008779253623337979e+00
4.513584490825842295e+03,1.005451824350712231e+00
5.309643844154596081e+03,1.002323269751470125e+00
6.245730228320343485e+03,9.999553259694718976e-01
